time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050112:1336,0,0,0,0,19.52,2.34,0
20050112:1436,0,0,0,0,18.22,2.34,0
20050112:1536,0,0,0,0,17.07,2.34,0
20050112:1636,0,0,0,0,16.03,2.48,0
20050112:1736,0,0,0,0,15.19,2.69,0
20050112:1836,0,0,0,0,14.55,2.48,0
20050112:1936,0,0,0,0,14.64,2.41,0
20050112:2036,0,0,0,0,15.03,2.55,0
20050112:2136,1,0,0,2.4,15.77,2.69,1
20050112:2236,0,18,0,14.12,17.07,3.66,0
20050112:2336,0,55,0,26.15,17.35,4.41,0
20050113:0036,1,216,0,38.61,17.75,4.69,0
20050113:0136,168,398,0,51.12,18.46,4.9,0
20050113:0236,782,171,0,63.32,19.69,4.97,0
20050113:0336,761,242,0,74.04,21.03,4.97,0
20050113:0436,987,110,0,77.85,22.06,5.03,0
20050113:0536,961,97,0,70.19,22.69,5.03,0
20050113:0636,647,229,0,58.61,22.99,5.1,0
20050113:0736,692,94,0,46.23,22.54,5.17,0
20050113:0836,523,68,0,33.71,21.63,5.24,0
20050113:0936,252,92,0,21.34,20.24,5.17,0
20050113:1036,77,50,0,9.3,18.42,4.76,0
20050113:1136,0,0,0,0,16.71,4.83,0
20050113:1236,0,0,0,0,15.24,4.69,0
20050113:1336,0,0,0,0,14.06,4.48,0
20050113:1436,0,0,0,0,13.14,4.28,0
20050113:1536,0,0,0,0,12.42,4,0
20050113:1636,0,0,0,0,11.87,3.86,0
20050113:1736,0,0,0,0,11.44,3.72,0
20050113:1836,0,0,0,0,10.74,3.31,0
20050113:1936,0,0,0,0,10.47,3.17,0
20050113:2036,0,0,0,0,10.18,2.97,0
20050113:2136,0,0,0,2.24,10.19,2.83,1
20050113:2236,0,25,0,13.96,11.85,2.9,0
20050113:2336,325,208,0,26,13.95,4.41,0
20050114:0036,508,123,0,38.46,16,4.34,0
20050114:0136,734,104,0,50.96,18.05,4.14,0
20050114:0236,893,97,0,63.16,20.04,3.93,0
20050114:0336,928,133,0,73.85,21.81,3.86,0
20050114:0436,968,122,0,77.7,23.25,3.79,0
20050114:0536,925,121,0,70.14,24.41,3.79,0
20050114:0636,806,127,0,58.6,24.81,4,0
20050114:0736,629,135,0,46.23,24.97,4.14,0
20050114:0836,441,121,0,33.71,24.47,4.48,0
20050114:0936,252,91,0,21.33,23.38,4.69,0
20050114:1036,93,41,0,9.28,21.68,4.07,0
20050114:1136,0,0,0,0,19.68,4.41,0
20050114:1236,0,0,0,0,17.86,4.28,0
20050114:1336,0,0,0,0,16.36,4.07,0
20050114:1436,0,0,0,0,15.19,3.86,0
20050114:1536,0,0,0,0,14.38,3.59,0
20050114:1636,0,0,0,0,13.69,3.24,0
20050114:1736,0,0,0,0,13.17,3.1,0
20050114:1836,0,0,0,0,12.12,2.83,0
20050114:1936,0,0,0,0,11.71,2.69,0
20050114:2036,0,0,0,0,11.43,2.76,0
20050114:2136,0,0,0,2.07,11.49,2.83,1
20050114:2236,13,97,0,13.8,13.13,3.17,0
20050114:2336,427,147,0,25.84,14.97,4.14,0
20050115:0036,526,110,0,38.3,16.77,4.07,0
20050115:0136,732,103,0,50.81,18.79,4.07,0
20050115:0236,892,96,0,62.99,20.68,4.21,0
20050115:0336,981,96,0,73.66,22.34,4.28,0
20050115:0436,1043,70,0,77.53,23.76,4.21,0
20050115:0536,961,96,0,70.09,24.88,4.21,0
20050115:0636,869,85,0,58.59,25.99,4.34,0
20050115:0736,718,76,0,46.22,26.15,4.55,0
20050115:0836,458,110,0,33.7,25.68,4.83,0
20050115:0936,267,82,0,21.31,24.74,4.97,0
20050115:1036,92,42,0,9.25,23.25,4.55,0
20050115:1136,0,0,0,0,21.38,5.03,0
20050115:1236,0,0,0,0,19.47,5.24,0
20050115:1336,0,0,0,0,17.65,5.24,0
20050115:1436,0,0,0,0,16.11,4.97,0
20050115:1536,0,0,0,0,14.91,4.76,0
20050115:1636,0,0,0,0,14.02,4.69,0
20050115:1736,0,0,0,0,13.35,4.62,0
20050115:1836,0,0,0,0,12.54,4.55,0
20050115:1936,0,0,0,0,12.19,4.48,0
20050115:2036,0,0,0,0,11.94,4.48,0
20050115:2136,0,0,0,1.89,12,4.69,1
20050115:2236,17,98,0,13.64,13.34,4.97,0
20050115:2336,451,130,0,25.68,15.6,5.38,0
20050116:0036,534,103,0,38.15,18.27,5.17,0
20050116:0136,757,85,0,50.65,20.94,4.69,0
20050116:0236,873,108,0,62.82,23.51,4.28,0
20050116:0336,980,96,0,73.46,25.75,3.86,0
20050116:0436,966,122,0,77.36,27.5,3.59,0
20050116:0536,907,132,0,70.02,28.78,3.59,0
20050116:0636,805,128,0,58.56,29.41,3.79,0
20050116:0736,593,158,0,46.21,29.59,4,0
20050116:0836,398,148,0,33.69,29.24,4.07,0
20050116:0936,196,124,0,21.29,28.48,4,0
20050116:1036,60,58,0,9.22,27.27,3.24,0
20050116:1136,0,0,0,0,25.45,2.83,0
20050116:1236,0,0,0,0,23.98,2.83,0
20050116:1336,0,0,0,0,22.69,3.1,0
20050116:1436,0,0,0,0,21.1,3.86,0
20050116:1536,0,0,0,0,19.24,4.07,0
20050116:1636,0,0,0,0,17.98,3.93,0
20050116:1736,0,0,0,0,17.29,3.86,0
20050116:1836,0,0,0,0,16.43,3.79,0
20050116:1936,0,0,0,0,16.26,3.72,0
20050116:2036,0,0,0,0,16.41,3.72,0
20050116:2136,0,0,0,1.72,16.89,3.66,1
20050116:2236,97,78,0,13.47,19.3,3.1,0
20050116:2336,179,271,0,25.52,23.06,4.07,0
20050117:0036,313,233,0,37.99,26.49,4.14,0
20050117:0136,538,224,0,50.49,29.5,3.66,0
20050117:0236,673,236,0,62.65,32.11,3.03,0
20050117:0336,726,260,0,73.26,33.9,2,0
20050117:0436,760,255,0,77.19,35.15,1.52,0
20050117:0536,727,248,0,69.95,36.02,1.72,0
20050117:0636,687,204,0,58.53,36.08,1.45,0
20050117:0736,616,143,0,46.19,36.25,2.41,0
20050117:0836,440,122,0,33.67,34.25,3.66,0
20050117:0936,309,55,0,21.27,31.82,3.03,0
20050117:1036,0,25,0,9.18,29.07,1.93,0
20050117:1136,0,0,0,0,27.46,1.38,0
20050117:1236,0,0,0,0,25.71,2,0
20050117:1336,0,0,0,0,23.48,2.21,0
20050117:1436,0,0,0,0,22.58,0.83,0
20050117:1536,0,0,0,0,21.71,1.66,0
20050117:1636,0,0,0,0,20.84,1.86,0
20050117:1736,0,0,0,0,19.58,2.14,0
20050117:1836,0,0,0,0,18.08,2.62,0
20050117:1936,0,0,0,0,16.89,2.97,0
20050117:2036,0,0,0,0,16.35,3.24,0
20050117:2136,0,0,0,1.54,15.97,3.31,1
20050117:2236,12,37.55,0,13.3,16.77,4.28,1
20050117:2336,111,287,0,25.36,17.83,4.28,0
20050118:0036,213,278,0,37.83,19.57,4.41,0
20050118:0136,725,104,0,50.33,20.99,4.34,0
20050118:0236,886,96,0,62.47,22.64,4.34,0
20050118:0336,995,84,0,73.06,23.82,4.48,0
20050118:0436,1040,70,0,77,24.77,4.55,0
20050118:0536,995,72,0,69.87,25.25,4.83,0
20050118:0636,884,74,0,58.5,24.86,5.24,0
20050118:0736,717,76,0,46.17,24.2,5.45,0
20050118:0836,522,68,0,33.65,23.11,5.52,0
20050118:0936,266,82,0,21.24,21.62,5.38,0
20050118:1036,88,43,0,9.14,19.78,4.83,0
20050118:1136,0,0,0,0,17.92,4.76,0
20050118:1236,0,0,0,0,16.28,4.76,0
20050118:1336,0,0,0,0,14.98,4.48,0
20050118:1436,0,0,0,0,13.88,4.34,0
20050118:1536,0,0,0,0,12.99,4.21,0
20050118:1636,0,0,0,0,12.38,4.07,0
20050118:1736,0,0,0,0,11.91,3.72,0
20050118:1836,0,0,0,0,10.91,3.45,0
20050118:1936,0,0,0,0,10.55,3.38,0
20050118:2036,0,0,0,0,10.42,3.45,0
20050118:2136,0,0,0,1.37,10.47,3.45,1
20050118:2236,23,95,0,13.13,11.83,4.28,0
20050118:2336,453,123,0,25.2,13.66,4.62,0
20050119:0036,567,75,0,37.67,15.89,4.41,0
20050119:0136,750,85,0,50.16,18.2,4.14,0
20050119:0236,868,107,0,62.3,20.48,3.79,0
20050119:0336,957,109,0,72.85,22.52,3.52,0
20050119:0436,964,121,0,76.81,24.15,3.24,0
20050119:0536,888,143,0,69.78,25.36,3.1,0
20050119:0636,759,157,0,58.45,25.69,3.17,0
20050119:0736,616,142,0,46.14,25.98,3.31,0
20050119:0836,414,137,0,33.62,25.82,3.31,0
20050119:0936,213,113,0,21.2,25.22,3.24,0
20050119:1036,72,51,0,9.09,24.15,2.76,0
20050119:1136,0,0,0,0,22.46,2.55,0
20050119:1236,0,0,0,0,20.97,2.9,0
20050119:1336,0,0,0,0,19.59,3.38,0
20050119:1436,0,0,0,0,18.19,3.66,0
20050119:1536,0,0,0,0,16.92,3.45,0
20050119:1636,0,0,0,0,15.78,3.17,0
20050119:1736,0,0,0,0,14.79,2.9,0
20050119:1836,0,0,0,0,13.32,2.69,0
20050119:1936,0,0,0,0,12.63,2.62,0
20050119:2036,0,0,0,0,12.08,2.55,0
20050119:2136,0,0,0,1.19,11.8,2.48,1
20050119:2236,113,64,0,12.96,13.28,2.62,0
20050119:2336,515,81,0,25.03,15.98,2.62,0
20050120:0036,544,89,0,37.51,19.11,2.41,0
20050120:0136,720,104,0,50,21.88,2.07,0
20050120:0236,866,107,0,62.12,23.99,1.59,0
20050120:0336,938,121,0,72.64,25.71,1.03,0
20050120:0436,981,109,0,76.61,27.13,1.1,0
20050120:0536,957,97,0,69.69,28.13,1.45,0
20050120:0636,835,106,0,58.4,28.75,2.07,0
20050120:0736,652,119,0,46.1,28.71,2.55,0
20050120:0836,502,80,0,33.59,28.17,2.76,0
20050120:0936,245,94,0,21.16,27.15,3.03,0
20050120:1036,70,52,0,9.04,25.28,3.38,0
20050120:1136,0,0,0,0,22.76,3.79,0
20050120:1236,0,0,0,0,20.6,3.72,0
20050120:1336,0,0,0,0,18.81,3.79,0
20050120:1436,0,0,0,0,17.28,3.86,0
20050120:1536,0,0,0,0,16.15,3.79,0
20050120:1636,0,0,0,0,15.34,3.52,0
20050120:1736,0,0,0,0,14.69,3.03,0
20050120:1836,0,0,0,0,13.86,3.17,0
20050120:1936,0,0,0,0,13.33,3.1,0
20050120:2036,0,0,0,0,12.89,2.83,0
20050120:2136,0,0,0,1,12.66,2.62,1
20050120:2236,34,93,0,12.79,14.11,2.97,0
20050120:2336,440,128,0,24.87,16.65,3.03,0
20050121:0036,561,76,0,37.35,19.51,2.69,0
20050121:0136,759,76,0,49.83,22.33,2.14,0
20050121:0236,880,96,0,61.94,24.71,1.66,0
20050121:0336,972,97,0,72.42,26.57,1.38,0
20050121:0436,1017,84,0,76.4,28.02,1.24,0
20050121:0536,1011,59,0,69.58,29.1,1.45,0
20050121:0636,834,107,0,58.35,29.64,1.93,0
20050121:0736,627,135,0,46.06,29.73,2.41,0
20050121:0836,474,98,0,33.55,29.24,2.69,0
20050121:0936,225,105,0,21.12,28.34,2.69,0
20050121:1036,82,45,0,8.98,26.84,2.55,0
20050121:1136,0,0,0,0,24.51,3.1,0
20050121:1236,0,0,0,0,22.22,3.79,0
20050121:1336,0,0,0,0,20.18,4,0
20050121:1436,0,0,0,0,18.52,3.93,0
20050121:1536,0,0,0,0,17.28,3.79,0
20050121:1636,0,0,0,0,16.33,3.66,0
20050121:1736,0,0,0,0,15.56,3.52,0
20050121:1836,0,0,0,0,14.68,3.45,0
20050121:1936,0,0,0,0,14.23,3.31,0
20050121:2036,0,0,0,0,13.92,3.24,0
20050121:2136,0,0,0,0.82,13.81,3.31,1
20050121:2236,144,42,0,12.62,15.22,3.66,0
20050121:2336,568,41,0,24.7,17.89,3.59,0
20050122:0036,548,82,0,37.18,21.12,3.31,0
20050122:0136,757,75,0,49.67,24.28,2.9,0
20050122:0236,895,85,0,61.75,27.03,2.55,0
20050122:0336,935,121,0,72.2,29.16,2.21,0
20050122:0436,978,110,0,76.19,30.69,2.14,0
20050122:0536,902,132,0,69.47,31.71,2.28,0
20050122:0636,757,157,0,58.29,32.26,2.76,0
20050122:0736,602,150,0,46.02,32.35,2.97,0
20050122:0836,412,137,0,33.5,31.95,3.31,0
20050122:0936,194,122,0,21.06,31.09,3.52,0
20050122:1036,66,52,0,8.92,29.77,3.17,0
20050122:1136,0,0,0,0,27.89,3.17,0
20050122:1236,0,0,0,0,26.03,3.72,0
20050122:1336,0,0,0,0,24.11,4.41,0
20050122:1436,0,0,0,0,22.28,4.41,0
20050122:1536,0,0,0,0,20.74,4.14,0
20050122:1636,0,0,0,0,19.45,4,0
20050122:1736,0,0,0,0,18.38,4.07,0
20050122:1836,0,0,0,0,17.46,4,0
20050122:1936,0,0,0,0,16.87,3.86,0
20050122:2036,0,0,0,0,16.45,3.66,0
20050122:2136,0,0,0,0.63,16.29,3.59,1
20050122:2236,66,81,0,12.44,17.68,3.72,0
20050122:2336,393,153,0,24.53,20.75,4.21,0
20050123:0036,506,108,0,37.02,24.29,4.28,0
